station,email,city,country
Radio Oran,info@radio-oran.com,"Oran, Regionale de l'Ouest, Algeria", Algeria
MFM Tunisie,contact@radiomfm.tn,"Mahdia, Tunisia", Tunisia
Radio Bonne Nouvelle Togo,vieabel@yahoo.fr,"Lomé, Togo", Togo
Lotus FM,info@lotusfm.co.za,"Port Elizabeth, South Africa", South Africa
90.8 Metro fm Uganda,metro90.8@gmail.com,"Kampala, Uganda", Uganda
Radio Lagos,INFO@RADIOLAGOSEKOFM.NET,"Ikeja, Lagos, Nigeria", Nigeria
Dinpa FM,info@dinpafmonline.com,"Sunyani, Ghana", Ghana
Sound Asia FM,info@soundasiafm.com,"Nairobi, Kenya", Kenya
MBC Radio Maurice 1,customercare@mbc.intnet.mu,"Malherbes, Port Louis, Mauritius", Mauritius
Kameme FM,info@kamemefm.com,"Nairobi, Kenya", Kenya
MBC Kool FM,customercare@mbc.intnet.mu,"Port Louis, Mauritius", Mauritius
Mosaique FM,commercial.citycenter@topnet.tn,"Boukrim, Tunisia", Tunisia
Radio Futurs Medias,info@futursmedias.net,"Dakar, Senegal", Senegal
Radio Ethiopia - National Service,radioethiopia@usa.net,"Metu, Ethiopia", Ethiopia
Radio Vision Egypt,radiovisioneg@hotmail.com,"Cairo, Egypt", Egypt
Radio Maria (Mozambique),info.moz@radiomaria.org,"Matola, Mozambique", Mozambique
Sky FM 96.7MHz,info@skyfmonline.com,"Sunyani, Ghana", Ghana
Mix 93.8,onair@mixfm.co.za,"Johannesburg, South Africa", South Africa
Radio Wave,robin@radiowave.com.na,"Klein Windhoek, Namibia", Namibia
Jacaranda FM,enquiries@jacarandafm.com,"Johannesburg, South Africa", South Africa
Ghanatta Radio,info@ghanatta.com,"Gaga, Ghana", Ghana
Pamoja FM,pamojafm.marketing@yahoo.com,"Kibera, Kenya", Kenya
Radio Mayotte Web,radio@mayottewebradio.fr,"Combani, Mayotte", Mayotte
Easy FM,info@easyfm.co.ke,"Mombasa, Kenya", Kenya
Africa N°1,africa@africa1.com,"Kinshasa, DR Congo", DR Congo
RCM 13,info@rcm13.fr,"Moroni, Comoros", Comoros
BBC World Service Saint-Leu,bbcwsafrica@bbc.co.uk,"Saint-Leu, Reunion", Reunion
Umhlobo Wenene FM,magwan@sabc.co.za,"East London, South Africa", South Africa
KFM,rkyomugisha@ug.nationmedia.com,"Kampala, Uganda", Uganda
Radio Tigabane,tigabane@mzuzu.org,"Mzuzu, Malawi", Malawi
SolidFM 103.7,info@kfmghana.com,"Kumasi, Ghana", Ghana
Radio Jijel,info@radio-jijel.dz,"Jijel, Algeria", Algeria
Rock Mauritius Radio,contact@rockmauritius.tk,"Bel Ombre, Mauritius", Mauritius
Nigeriainfo FM 95.1 Abuja,rcahilig@coollink.us,"Abuja, Nigeria", Nigeria
Radio Okapi,info@hirondelle.org,"Bukavu, DR Congo", DR Congo
Hellenic t/a New Pan-Hellenic Voice,info@hellenicradio.org.za,"Johannesburg, South Africa", South Africa
Radio 2000,info@radio2000.co.za,"Johannesburg, South Africa", South Africa
Rádio 95.8 FM Maputo,internet@iurd.co.mz,"Maputo, Mozambique", Mozambique
ZNBC R1,hyde.haguta@znbc.co.zm,"Lusaka, Lusaka, Zambia", Zambia
CliffCentral,contact@cliffcentral.com,"Johannesburg, South Africa", South Africa
Adom FM,teamwork@myjoyonline.com,"Tema, Ghana", Ghana
Radio Isanganiro,isanganiro@yahoo.fr,"Bujumbura, Burundi", Burundi
Connect Radio,studio@connectuganda.com,"Kampala, Uganda", Uganda
SAMS R1,news@shbc.sh,"Jamestown, St. Helena", St. Helena
Radio Sonder Grense,rekenaar@rsg.co.za,"Johannesburg, South Africa", South Africa
Capital FM,technical@capitalfm-ug.com,"Kampala, Uganda", Uganda
Love FM,dunyaa@sentoo.sn,"Dakar, Senegal", Senegal
ERTU Shabab wal Riyadiyah,radioinfo@ertu.org,"Cairo, Egypt", Egypt
